date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2017-Sep-30,0,0,74,160,3663,4546,64674,42190,0,0,3834.7,1407.6,103.3,72.3,50,20,11276752.34,16570299.84,19070515,1.4e+07
2017-Oct-04,0,4,27,109,2384,3283,47561,37280,0,25182.1,6488,2008.9,154.3,97.4,50,20,14473786.79,18779926.69,16673665,1.7e+07
2017-Oct-07,0,1,49,145,2820,3904,52505,40453,0,128735,4569.1,1930,166.7,104.7,50,20,18559722.35,23505346.05,20069960,2.1e+07
2017-Oct-11,0,0,43,81,2294,2600,45211,29245,0,0,6808.3,2868.5,170.2,130.5,50,20,21951963.73,26052257.93,16649680,2.5e+07
2017-Oct-14,0,2,57,134,3496,4499,61659,47065,0,60933.3,3718.3,1977.1,127.3,86,50,20,25819904.13,31274850.03,20717330,2.9e+07
2017-Oct-18,0,3,52,131,2546,3793,45657,39032,0,32901.6,3301.1,1638,141.6,82.5,50,20,28952706.62,33174572.72,16344445,3.2e+07
2017-Oct-21,0,1,42,141,2757,3850,56349,45448,0,127465.7,5278.1,1965.2,168.9,105.1,50,20,32998357.86,38221299.26,20596440,3.6e+07
2017-Oct-25,0,0,50,98,2391,3172,48448,39087,0,0,6750.1,2733.3,188.2,123.3,50,20,36909085.93,41559688.13,19025115,4.1e+07
2017-Oct-28,0,0,58,122,3310,3695,63908,40829,0,0,6860.5,2588.5,160.3,124.8,50,20,41519814.66,47237229.66,22951215,4.5e+07
2017-Nov-01,0,0,43,112,2407,3857,50667,43929,0,0,8699.8,2650.9,207.2,112.4,50,20,45854526.01,50869705.41,20777535,5e+07
2017-Nov-04,1,1,90,155,4059,4780,73709,50276,50795986.3,155689.8,3008.5,2183.6,140.1,103.4,50,20,0,57314787,25466875,3e+06
2017-Nov-08,0,1,21,45,1362,1706,28314,22293,0,90743.1,7515,4383.7,243.2,168.7,50,20,2880104.09,5806529.29,12904240,6e+06
2017-Nov-11,1,0,31,84,1780,2510,38026,28700,6251034.2,0,9384.4,2748.6,217.9,134.3,50,20,0,9973088,15762250,3e+06
2017-Nov-15,0,0,29,75,1439,2400,30529,24334,0,0,7133.9,2189.3,191.7,99.9,50,20,2397214.89,5297041.79,11771080,5400000
2017-Nov-18,0,0,29,81,1707,2336,36222,27388,0,0,9512.2,2702.9,215.5,136.8,50,20,5593639.43,9134711.43,14972275,8600000
2017-Nov-22,0,1,26,51,1557,1661,30224,18876,0,69940.9,4678.4,2981.2,164.1,133.7,50,20,7813502.63,10523422.53,10954730,1.1e+07
2017-Nov-25,0,2,38,86,2294,2952,44456,32318,0,52259.4,4783.5,2642.1,166.4,112.4,50,20,11130841.45,15227040.25,16474355,1.4e+07
2017-Nov-29,0,0,37,100,1952,2783,38842,31063,0,0,6842,2009.1,172.9,105.4,50,20,14064213.23,17712466.23,14625950,1.7e+07
2017-Dec-02,0,1,35,80,1979,2752,42432,32944,0,123418.1,6132.5,3353.8,227.8,142.3,50,20,17981395.23,22210660.63,18103295,2.1e+07
